name,category,subcategory,grade,standard,density,tensile_strength_min,tensile_strength_max,yield_strength_min,yield_strength_max,elongation,hardness,elastic_modulus,thermal_conductivity,specific_heat,melting_point_min,melting_point_max,max_service_temp,cost_per_kg_min,cost_per_kg_max,cost_currency,applications,equivalent_grades,composition,description,source_name,is_verified
Grade Al 3020,Metal,Aluminum Alloy,Al 3020,-,2.7,208,260,106,159,14.7,-,70,150,900,580,650,150,250,400,INR,Engineering applications,-,-,Standard Aluminum Alloy variant.,MMPDS,True
Grade Al 3030,Metal,Aluminum Alloy,Al 3030,-,2.7,212,265,109,163,14.5,-,70,150,900,580,650,150,250,400,INR,Engineering applications,-,-,Standard Aluminum Alloy variant.,MMPDS,True
Grade Al 3040,Metal,Aluminum Alloy,Al 3040,-,2.7,216,270,112,168,14.4,-,70,150,900,580,650,150,250,400,INR,Engineering applications,-,-,Standard Aluminum Alloy variant.,MMPDS,True
Grade Al 3050,Metal,Aluminum Alloy,Al 3050,-,2.7,220,275,114,172,14.2,-,70,150,900,580,650,150,250,400,INR,Engineering applications,-,-,Standard Aluminum Alloy variant.,MMPDS,True
Grade Al 3060,Metal,Aluminum Alloy,Al 3060,-,2.7,224,280,118,177,14.1,-,70,150,900,580,650,150,250,400,INR,Engineering applications,-,-,Standard Aluminum Alloy variant.,MMPDS,True
Grade Al 3070,Metal,Aluminum Alloy,Al 3070,-,2.7,228,285,121,181,13.9,-,70,150,900,580,650,150,250,400,INR,Engineering applications,-,-,Standard Aluminum Alloy variant.,MMPDS,True
Grade Al 3080,Metal,Aluminum Alloy,Al 3080,-,2.7,231,290,124,186,13.8,-,70,150,900,580,650,150,250,400,INR,Engineering applications,-,-,Standard Aluminum Alloy variant.,MMPDS,True
Grade Al 3090,Metal,Aluminum Alloy,Al 3090,-,2.7,236,295,127,190,13.7,-,70,150,900,580,650,150,250,400,INR,Engineering applications,-,-,Standard Aluminum Alloy variant.,MMPDS,True
Grade Al 3100,Metal,Aluminum Alloy,Al 3100,-,2.7,240,300,130,195,13.5,-,70,150,900,580,650,150,250,400,INR,Engineering applications,-,-,Standard Aluminum Alloy variant.,MMPDS,True
Grade Al 3110,Metal,Aluminum Alloy,Al 3110,-,2.7,244,305,133,199,13.3,-,70,150,900,580,650,150,250,400,INR,Engineering applications,-,-,Standard Aluminum Alloy variant.,MMPDS,True
Grade Al 3120,Metal,Aluminum Alloy,Al 3120,-,2.7,248,310,136,203,13.2,-,70,150,900,580,650,150,250,400,INR,Engineering applications,-,-,Standard Aluminum Alloy variant.,MMPDS,True
Grade Al 3130,Metal,Aluminum Alloy,Al 3130,-,2.7,252,315,139,208,13.1,-,70,150,900,580,650,150,250,400,INR,Engineering applications,-,-,Standard Aluminum Alloy variant.,MMPDS,True
Grade Al 3140,Metal,Aluminum Alloy,Al 3140,-,2.7,256,320,142,213,12.9,-,70,150,900,580,650,150,250,400,INR,Engineering applications,-,-,Standard Aluminum Alloy variant.,MMPDS,True
Grade Al 3150,Metal,Aluminum Alloy,Al 3150,-,2.7,260,325,145,217,12.8,-,70,150,900,580,650,150,250,400,INR,Engineering applications,-,-,Standard Aluminum Alloy variant.,MMPDS,True
Grade Al 3160,Metal,Aluminum Alloy,Al 3160,-,2.7,264,330,148,222,12.6,-,70,150,900,580,650,150,250,400,INR,Engineering applications,-,-,Standard Aluminum Alloy variant.,MMPDS,True
Grade Al 3170,Metal,Aluminum Alloy,Al 3170,-,2.7,268,335,151,226,12.4,-,70,150,900,580,650,150,250,400,INR,Engineering applications,-,-,Standard Aluminum Alloy variant.,MMPDS,True
Grade Al 3180,Metal,Aluminum Alloy,Al 3180,-,2.7,272,339,154,231,12.3,-,70,150,900,580,650,150,250,400,INR,Engineering applications,-,-,Standard Aluminum Alloy variant.,MMPDS,True
Grade Al 3190,Metal,Aluminum Alloy,Al 3190,-,2.7,276,345,156,235,12.2,-,70,150,900,580,650,150,250,400,INR,Engineering applications,-,-,Standard Aluminum Alloy variant.,MMPDS,True
Grade Al 3200,Metal,Aluminum Alloy,Al 3200,-,2.7,280,350,160,240,12.0,-,70,150,900,580,650,150,250,400,INR,Engineering applications,-,-,Standard Aluminum Alloy variant.,MMPDS,True
Grade Al 3210,Metal,Aluminum Alloy,Al 3210,-,2.7,284,355,163,244,11.9,-,70,150,900,580,650,150,250,400,INR,Engineering applications,-,-,Standard Aluminum Alloy variant.,MMPDS,True
Grade Al 3220,Metal,Aluminum Alloy,Al 3220,-,2.7,288,360,166,249,11.7,-,70,150,900,580,650,150,250,400,INR,Engineering applications,-,-,Standard Aluminum Alloy variant.,MMPDS,True
Grade Al 3230,Metal,Aluminum Alloy,Al 3230,-,2.7,292,365,169,253,11.6,-,70,150,900,580,650,150,250,400,INR,Engineering applications,-,-,Standard Aluminum Alloy variant.,MMPDS,True
Grade Al 3240,Metal,Aluminum Alloy,Al 3240,-,2.7,296,370,172,258,11.4,-,70,150,900,580,650,150,250,400,INR,Engineering applications,-,-,Standard Aluminum Alloy variant.,MMPDS,True
Grade Al 3250,Metal,Aluminum Alloy,Al 3250,-,2.7,300,375,175,262,11.2,-,70,150,900,580,650,150,250,400,INR,Engineering applications,-,-,Standard Aluminum Alloy variant.,MMPDS,True
Grade Al 3260,Metal,Aluminum Alloy,Al 3260,-,2.7,304,380,178,267,11.1,-,70,150,900,580,650,150,250,400,INR,Engineering applications,-,-,Standard Aluminum Alloy variant.,MMPDS,True
Grade Al 3270,Metal,Aluminum Alloy,Al 3270,-,2.7,308,385,181,271,10.9,-,70,150,900,580,650,150,250,400,INR,Engineering applications,-,-,Standard Aluminum Alloy variant.,MMPDS,True
Grade Al 3280,Metal,Aluminum Alloy,Al 3280,-,2.7,312,390,184,276,10.8,-,70,150,900,580,650,150,250,400,INR,Engineering applications,-,-,Standard Aluminum Alloy variant.,MMPDS,True
Grade Al 3290,Metal,Aluminum Alloy,Al 3290,-,2.7,316,395,187,280,10.6,-,70,150,900,580,650,150,250,400,INR,Engineering applications,-,-,Standard Aluminum Alloy variant.,MMPDS,True
Grade Al 3300,Metal,Aluminum Alloy,Al 3300,-,2.7,320,400,190,285,10.5,-,70,150,900,580,650,150,250,400,INR,Engineering applications,-,-,Standard Aluminum Alloy variant.,MMPDS,True
Grade Al 3310,Metal,Aluminum Alloy,Al 3310,-,2.7,324,405,193,289,10.3,-,70,150,900,580,650,150,250,400,INR,Engineering applications,-,-,Standard Aluminum Alloy variant.,MMPDS,True
Grade Al 3320,Metal,Aluminum Alloy,Al 3320,-,2.7,328,410,196,294,10.2,-,70,150,900,580,650,150,250,400,INR,Engineering applications,-,-,Standard Aluminum Alloy variant.,MMPDS,True
Grade Al 3330,Metal,Aluminum Alloy,Al 3330,-,2.7,332,415,199,298,10.0,-,70,150,900,580,650,150,250,400,INR,Engineering applications,-,-,Standard Aluminum Alloy variant.,MMPDS,True
Grade Al 3340,Metal,Aluminum Alloy,Al 3340,-,2.7,336,420,202,303,9.9,-,70,150,900,580,650,150,250,400,INR,Engineering applications,-,-,Standard Aluminum Alloy variant.,MMPDS,True
Grade Al 3350,Metal,Aluminum Alloy,Al 3350,-,2.7,340,425,204,307,9.7,-,70,150,900,580,650,150,250,400,INR,Engineering applications,-,-,Standard Aluminum Alloy variant.,MMPDS,True
Grade Al 3360,Metal,Aluminum Alloy,Al 3360,-,2.7,344,430,208,312,9.6,-,70,150,900,580,650,150,250,400,INR,Engineering applications,-,-,Standard Aluminum Alloy variant.,MMPDS,True
Grade Al 3370,Metal,Aluminum Alloy,Al 3370,-,2.7,348,435,211,316,9.4,-,70,150,900,580,650,150,250,400,INR,Engineering applications,-,-,Standard Aluminum Alloy variant.,MMPDS,True
Grade Al 3380,Metal,Aluminum Alloy,Al 3380,-,2.7,352,440,213,320,9.3,-,70,150,900,580,650,150,250,400,INR,Engineering applications,-,-,Standard Aluminum Alloy variant.,MMPDS,True
Grade Al 3390,Metal,Aluminum Alloy,Al 3390,-,2.7,356,445,217,325,9.2,-,70,150,900,580,650,150,250,400,INR,Engineering applications,-,-,Standard Aluminum Alloy variant.,MMPDS,True
Grade Al 3400,Metal,Aluminum Alloy,Al 3400,-,2.7,360,450,220,330,9.0,-,70,150,900,580,650,150,250,400,INR,Engineering applications,-,-,Standard Aluminum Alloy variant.,MMPDS,True
Grade Al 3410,Metal,Aluminum Alloy,Al 3410,-,2.7,364,455,223,334,8.8,-,70,150,900,580,650,150,250,400,INR,Engineering applications,-,-,Standard Aluminum Alloy variant.,MMPDS,True
Grade Al 3420,Metal,Aluminum Alloy,Al 3420,-,2.7,368,459,225,338,8.7,-,70,150,900,580,650,150,250,400,INR,Engineering applications,-,-,Standard Aluminum Alloy variant.,MMPDS,True
Grade Al 3430,Metal,Aluminum Alloy,Al 3430,-,2.7,372,464,229,343,8.6,-,70,150,900,580,650,150,250,400,INR,Engineering applications,-,-,Standard Aluminum Alloy variant.,MMPDS,True
Grade Al 3440,Metal,Aluminum Alloy,Al 3440,-,2.7,376,470,231,348,8.4,-,70,150,900,580,650,150,250,400,INR,Engineering applications,-,-,Standard Aluminum Alloy variant.,MMPDS,True
Grade Al 3450,Metal,Aluminum Alloy,Al 3450,-,2.7,380,475,234,352,8.2,-,70,150,900,580,650,150,250,400,INR,Engineering applications,-,-,Standard Aluminum Alloy variant.,MMPDS,True
Grade Al 3460,Metal,Aluminum Alloy,Al 3460,-,2.7,384,480,238,357,8.1,-,70,150,900,580,650,150,250,400,INR,Engineering applications,-,-,Standard Aluminum Alloy variant.,MMPDS,True
Grade Al 3470,Metal,Aluminum Alloy,Al 3470,-,2.7,388,485,241,361,8.0,-,70,150,900,580,650,150,250,400,INR,Engineering applications,-,-,Standard Aluminum Alloy variant.,MMPDS,True
Grade Al 3480,Metal,Aluminum Alloy,Al 3480,-,2.7,392,490,244,366,7.8,-,70,150,900,580,650,150,250,400,INR,Engineering applications,-,-,Standard Aluminum Alloy variant.,MMPDS,True
Grade Al 3490,Metal,Aluminum Alloy,Al 3490,-,2.7,396,495,246,370,7.7,-,70,150,900,580,650,150,250,400,INR,Engineering applications,-,-,Standard Aluminum Alloy variant.,MMPDS,True
TPU Shore 50A,Polymer,Elastomer,Shore 50A,-,1.1,20,30,5,10,300.0,-,0.05,0.2,1800,150,180,80,400,800,INR,Engineering applications,-,-,Standard Elastomer variant.,ISO 10350,True
TPU Shore 51A,Polymer,Elastomer,Shore 51A,-,1.1,21,31,5,10,297.0,-,0.05,0.2,1800,150,180,80,400,800,INR,Engineering applications,-,-,Standard Elastomer variant.,ISO 10350,True
TPU Shore 52A,Polymer,Elastomer,Shore 52A,-,1.1,22,33,5,11,294.0,-,0.05,0.2,1800,150,180,80,400,800,INR,Engineering applications,-,-,Standard Elastomer variant.,ISO 10350,True
TPU Shore 53A,Polymer,Elastomer,Shore 53A,-,1.1,23,34,5,11,291.0,-,0.05,0.2,1800,150,180,80,400,800,INR,Engineering applications,-,-,Standard Elastomer variant.,ISO 10350,True
TPU Shore 54A,Polymer,Elastomer,Shore 54A,-,1.1,24,36,6,12,288.0,-,0.05,0.2,1800,150,180,80,400,800,INR,Engineering applications,-,-,Standard Elastomer variant.,ISO 10350,True
TPU Shore 55A,Polymer,Elastomer,Shore 55A,-,1.1,25,37,6,12,285.0,-,0.05,0.2,1800,150,180,80,400,800,INR,Engineering applications,-,-,Standard Elastomer variant.,ISO 10350,True
TPU Shore 56A,Polymer,Elastomer,Shore 56A,-,1.1,26,39,6,13,282.0,-,0.05,0.2,1800,150,180,80,400,800,INR,Engineering applications,-,-,Standard Elastomer variant.,ISO 10350,True
TPU Shore 57A,Polymer,Elastomer,Shore 57A,-,1.1,27,40,6,13,279.0,-,0.05,0.2,1800,150,180,80,400,800,INR,Engineering applications,-,-,Standard Elastomer variant.,ISO 10350,True
TPU Shore 58A,Polymer,Elastomer,Shore 58A,-,1.1,28,42,7,14,276.0,-,0.05,0.2,1800,150,180,80,400,800,INR,Engineering applications,-,-,Standard Elastomer variant.,ISO 10350,True
TPU Shore 59A,Polymer,Elastomer,Shore 59A,-,1.1,29,43,7,14,273.0,-,0.05,0.2,1800,150,180,80,400,800,INR,Engineering applications,-,-,Standard Elastomer variant.,ISO 10350,True
TPU Shore 60A,Polymer,Elastomer,Shore 60A,-,1.1,30,45,7,15,270.0,-,0.05,0.2,1800,150,180,80,400,800,INR,Engineering applications,-,-,Standard Elastomer variant.,ISO 10350,True
TPU Shore 61A,Polymer,Elastomer,Shore 61A,-,1.1,31,46,7,15,267.0,-,0.05,0.2,1800,150,180,80,400,800,INR,Engineering applications,-,-,Standard Elastomer variant.,ISO 10350,True
TPU Shore 62A,Polymer,Elastomer,Shore 62A,-,1.1,32,48,8,16,264.0,-,0.05,0.2,1800,150,180,80,400,800,INR,Engineering applications,-,-,Standard Elastomer variant.,ISO 10350,True
TPU Shore 63A,Polymer,Elastomer,Shore 63A,-,1.1,33,49,8,16,261.0,-,0.05,0.2,1800,150,180,80,400,800,INR,Engineering applications,-,-,Standard Elastomer variant.,ISO 10350,True
TPU Shore 64A,Polymer,Elastomer,Shore 64A,-,1.1,34,51,8,17,258.0,-,0.05,0.2,1800,150,180,80,400,800,INR,Engineering applications,-,-,Standard Elastomer variant.,ISO 10350,True
TPU Shore 65A,Polymer,Elastomer,Shore 65A,-,1.1,35,52,8,17,255.0,-,0.05,0.2,1800,150,180,80,400,800,INR,Engineering applications,-,-,Standard Elastomer variant.,ISO 10350,True
TPU Shore 66A,Polymer,Elastomer,Shore 66A,-,1.1,36,54,9,18,252.0,-,0.05,0.2,1800,150,180,80,400,800,INR,Engineering applications,-,-,Standard Elastomer variant.,ISO 10350,True
TPU Shore 67A,Polymer,Elastomer,Shore 67A,-,1.1,37,55,9,18,249.0,-,0.05,0.2,1800,150,180,80,400,800,INR,Engineering applications,-,-,Standard Elastomer variant.,ISO 10350,True
TPU Shore 68A,Polymer,Elastomer,Shore 68A,-,1.1,38,57,9,19,246.0,-,0.05,0.2,1800,150,180,80,400,800,INR,Engineering applications,-,-,Standard Elastomer variant.,ISO 10350,True
TPU Shore 69A,Polymer,Elastomer,Shore 69A,-,1.1,39,58,9,19,243.0,-,0.05,0.2,1800,150,180,80,400,800,INR,Engineering applications,-,-,Standard Elastomer variant.,ISO 10350,True
TPU Shore 70A,Polymer,Elastomer,Shore 70A,-,1.1,40,60,10,20,240.0,-,0.05,0.2,1800,150,180,80,400,800,INR,Engineering applications,-,-,Standard Elastomer variant.,ISO 10350,True
TPU Shore 71A,Polymer,Elastomer,Shore 71A,-,1.1,41,61,10,20,237.0,-,0.05,0.2,1800,150,180,80,400,800,INR,Engineering applications,-,-,Standard Elastomer variant.,ISO 10350,True
TPU Shore 72A,Polymer,Elastomer,Shore 72A,-,1.1,42,63,10,21,234.0,-,0.05,0.2,1800,150,180,80,400,800,INR,Engineering applications,-,-,Standard Elastomer variant.,ISO 10350,True
TPU Shore 73A,Polymer,Elastomer,Shore 73A,-,1.1,43,64,10,21,231.0,-,0.05,0.2,1800,150,180,80,400,800,INR,Engineering applications,-,-,Standard Elastomer variant.,ISO 10350,True
TPU Shore 74A,Polymer,Elastomer,Shore 74A,-,1.1,44,66,11,22,228.0,-,0.05,0.2,1800,150,180,80,400,800,INR,Engineering applications,-,-,Standard Elastomer variant.,ISO 10350,True
TPU Shore 75A,Polymer,Elastomer,Shore 75A,-,1.1,45,67,11,22,225.0,-,0.05,0.2,1800,150,180,80,400,800,INR,Engineering applications,-,-,Standard Elastomer variant.,ISO 10350,True
TPU Shore 76A,Polymer,Elastomer,Shore 76A,-,1.1,46,69,11,23,222.0,-,0.05,0.2,1800,150,180,80,400,800,INR,Engineering applications,-,-,Standard Elastomer variant.,ISO 10350,True
TPU Shore 77A,Polymer,Elastomer,Shore 77A,-,1.1,47,70,11,23,219.0,-,0.05,0.2,1800,150,180,80,400,800,INR,Engineering applications,-,-,Standard Elastomer variant.,ISO 10350,True
TPU Shore 78A,Polymer,Elastomer,Shore 78A,-,1.1,48,72,12,24,216.0,-,0.05,0.2,1800,150,180,80,400,800,INR,Engineering applications,-,-,Standard Elastomer variant.,ISO 10350,True
TPU Shore 79A,Polymer,Elastomer,Shore 79A,-,1.1,49,73,12,24,213.0,-,0.05,0.2,1800,150,180,80,400,800,INR,Engineering applications,-,-,Standard Elastomer variant.,ISO 10350,True
TPU Shore 80A,Polymer,Elastomer,Shore 80A,-,1.1,50,75,12,25,210.0,-,0.05,0.2,1800,150,180,80,400,800,INR,Engineering applications,-,-,Standard Elastomer variant.,ISO 10350,True
TPU Shore 81A,Polymer,Elastomer,Shore 81A,-,1.1,51,76,12,25,207.0,-,0.05,0.2,1800,150,180,80,400,800,INR,Engineering applications,-,-,Standard Elastomer variant.,ISO 10350,True
TPU Shore 82A,Polymer,Elastomer,Shore 82A,-,1.1,52,78,13,26,204.0,-,0.05,0.2,1800,150,180,80,400,800,INR,Engineering applications,-,-,Standard Elastomer variant.,ISO 10350,True
TPU Shore 83A,Polymer,Elastomer,Shore 83A,-,1.1,53,79,13,26,201.0,-,0.05,0.2,1800,150,180,80,400,800,INR,Engineering applications,-,-,Standard Elastomer variant.,ISO 10350,True
TPU Shore 84A,Polymer,Elastomer,Shore 84A,-,1.1,54,81,13,27,198.0,-,0.05,0.2,1800,150,180,80,400,800,INR,Engineering applications,-,-,Standard Elastomer variant.,ISO 10350,True
